NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_CORTICAL_ACTIN_CYTOSKELETON	78	69		
GOCC_ROUGH_ENDOPLASMIC_RETICULUM_MEMBRANE	26	26		
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM_MEMBRANE	7		Rejected!	
GOCC_MRE11_COMPLEX	7		Rejected!	
GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX	12		Rejected!	
GOCC_RNA_POLYMERASE_COMPLEX	108	99		
GOCC_VCB_COMPLEX	5		Rejected!	
GOCC_MITOTIC_COHESIN_COMPLEX	5		Rejected!	
GOCC_MEIOTIC_COHESIN_COMPLEX	7		Rejected!	
GOCC_REPLISOME	24	24		
GOCC_CHECKPOINT_CLAMP_COMPLEX	5		Rejected!	
GOCC_HOPS_COMPLEX	12		Rejected!	
GOCC_RETROMER_COMPLEX	21	20		
GOCC_STAGA_COMPLEX	12		Rejected!	
GOCC_NADH_DEHYDROGENASE_COMPLEX	50	49		
GOCC_INTRACILIARY_TRANSPORT_PARTICLE	26	26		
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_A	7		Rejected!	
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	18	18		
GOCC_ISWI_TYPE_COMPLEX	11		Rejected!	
GOCC_DENSE_CORE_GRANULE	28	15		
GOCC_NUCLEAR_PORE_OUTER_RING	10		Rejected!	
GOCC_BLOC_COMPLEX	20	19		
GOCC_BLOC_1_COMPLEX	15		Rejected!	
GOCC_PLATELET_DENSE_GRANULE_MEMBRANE	6		Rejected!	
GOCC_PLATELET_DENSE_GRANULE_LUMEN	14		Rejected!	
GOCC_PLATELET_ALPHA_GRANULE	91	70		
GOCC_PLATELET_ALPHA_GRANULE_MEMBRANE	17	15		
GOCC_PLATELET_ALPHA_GRANULE_LUMEN	67	50		
GOCC_PLATELET_DENSE_TUBULAR_NETWORK	11		Rejected!	
GOCC_PLATELET_DENSE_TUBULAR_NETWORK_MEMBRANE	9		Rejected!	
GOCC_SEPTIN_COMPLEX	14		Rejected!	
