"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID3A",5.48376231731915e-08,0.219281044824338,0.222,0.143,0.00109949434462249
"ITGB2",5.55593260520629e-08,0.210376173443866,0.82,0.848,0.00111396448734386
"CYTOR",5.84573615233928e-08,0.290894905872149,0.266,0.183,0.00117207009854402
"BCL2L1",6.06596327519004e-08,0.262702222573536,0.337,0.253,0.0012162256366756
"MAF",6.5693797650106e-08,0.305542126851777,0.332,0.253,0.00131716064288463
"PPIF",6.98772106320688e-08,0.459572171062405,0.321,0.244,0.00140103807317298
"CISD2",7.52169613949859e-08,0.283442489301386,0.464,0.395,0.00150810007596947
"ARL8B",7.65648503744937e-08,0.346123499102974,0.545,0.488,0.0015351252500086
"NTAN1",7.70988392838082e-08,0.340265096394479,0.48,0.406,0.00154583172764035
"SLC43A2",8.31405579849108e-08,0.441453990319571,0.452,0.388,0.00166696818759746
"MT-ATP8",8.46860570900267e-08,0.297801721489918,0.277,0.197,0.00169795544465503
"LGALS3",1.02715965643564e-07,0.272990922533099,0.976,0.967,0.00205945511115346
"MFSD12",1.06477739740617e-07,0.30724043072843,0.472,0.41,0.00213487868179936
"PLBD2",1.15381325555868e-07,0.244211321610322,0.263,0.187,0.00231339557739515
"VWA5A",1.27334004846774e-07,0.200633256777813,0.182,0.112,0.00255304679717782
"FEM1B",1.32476132264945e-07,0.268543470887702,0.316,0.236,0.00265614645191214
"ACSL1",1.38148856945838e-07,0.438308662533267,0.438,0.358,0.00276988458176406
"MFHAS1",1.4007650385393e-07,0.230887308240388,0.227,0.151,0.00280853390227129
"ITGB5",1.4200732932157e-07,0.243510188959015,0.22,0.148,0.00284724695289747
"C3AR1",1.8749313278637e-07,0.270005762663874,0.536,0.459,0.00375923731236672
"SEC61G",2.04236537683069e-07,0.301539148805829,0.679,0.659,0.00409494258054554
"NECTIN2",2.1050285381195e-07,0.282125305437733,0.282,0.207,0.00422058221892959
"ITGAV",2.44657389310899e-07,0.332571749614131,0.288,0.212,0.00490538065568353
"TPI1",3.25090187797275e-07,0.235592886497468,0.833,0.837,0.00651805826533536
"ZNF385A",3.76519423982976e-07,0.263325257792543,0.455,0.391,0.00754921445085868
"LITAF",4.50377839992772e-07,0.427023800663651,0.835,0.813,0.00903007569185508
"RDX",4.84400473189628e-07,0.353223357548364,0.452,0.399,0.00971222948745203
"PALLD",4.91368955353965e-07,0.268430231696485,0.225,0.152,0.009851947554847
"PLEKHO2",4.99848330073229e-07,0.405181492630629,0.517,0.455,0.0100219590179682
"CD83",5.19041401215998e-07,0.51241184835052,0.399,0.341,0.0104067800943808
"CDV3",5.35582820402552e-07,0.316286441950586,0.744,0.732,0.0107384355490712
"DSE",5.78544934149716e-07,0.557792034330735,0.541,0.503,0.0115998259297018
"FRMD4B",6.30074228016589e-07,0.234844503198919,0.334,0.254,0.0126329882717326
"MAP3K20",6.3203903707666e-07,0.276369215457901,0.285,0.211,0.012672382693387
"GNA12",6.33395810024996e-07,0.265739357047981,0.276,0.203,0.0126995859910012
"IQGAP2",6.43931239151117e-07,0.320626766359462,0.609,0.587,0.0129108213449799
"TIMP2",7.00207112723966e-07,0.247935748442681,0.78,0.806,0.0140391526101155
"ABL2",9.62628990651355e-07,0.355379662593401,0.347,0.275,0.0193007112625597
"TNS3",1.02350616348693e-06,0.298436699404087,0.447,0.376,0.020521298577913
"P4HB",1.1012441115384e-06,0.312649581053914,0.689,0.686,0.022079944436345
"VOPP1",1.14147613113543e-06,0.291821809924152,0.407,0.345,0.0228865964292654
"FOSB",1.16086210739294e-06,0.47619456412219,0.162,0.102,0.0232752852532285
"PIK3AP1",1.1751094789653e-06,0.315104859319015,0.404,0.338,0.0235609450532542
"FAM107B",1.30155463365759e-06,0.42608152516615,0.425,0.364,0.0260961704048348
"OST4",1.8138462822053e-06,0.258807909825735,0.763,0.768,0.0363676179582163
"POU2F2",1.82685489269173e-06,0.231127160075467,0.201,0.133,0.0366284405984691
"MYO9B",1.89761699668837e-06,0.271683514058662,0.52,0.466,0.0380472207836019
"ADGRE2",2.04668223590138e-06,0.31477387851971,0.258,0.191,0.0410359788298227
"ATP1A1",2.37752533991774e-06,0.304355582856221,0.572,0.525,0.0476693830653506
"RAB8B",2.61045467470649e-06,0.2625250926161,0.392,0.321,0.0523396162278651
"PRNP",2.79572816782712e-06,0.270608992469806,0.498,0.442,0.0560543497649338
"CHST11",2.98147102567933e-06,0.269216359950116,0.357,0.288,0.0597784940648706
"TMEM208",3.88173062546847e-06,0.256435119455166,0.533,0.494,0.0778286990406428
"SNX29",4.19274711047297e-06,0.204801084652827,0.232,0.167,0.0840645795649831
"VAMP5",4.70362952850882e-06,0.204582531330907,0.404,0.323,0.0943077720466018
"ZNF267",5.55945940991614e-06,0.31356579534512,0.256,0.193,0.111467161168819
"ATP6V1A",5.70843235488305e-06,0.329582454019519,0.512,0.475,0.114454068715405
"JARID2",6.12080633193682e-06,0.314049115672496,0.225,0.163,0.122722166955333
"DCXR",6.8946032312813e-06,0.344702626855715,0.405,0.35,0.13823679478719
"GPAT3",7.07122934184608e-06,0.348288136942444,0.11,0.063,0.141778148304014
"SAMSN1",7.50060130744865e-06,0.34259703118066,0.284,0.218,0.150387056214345
"SLC35F6",7.72617686356953e-06,0.291616439216404,0.366,0.305,0.154909846114569
"TNS1",8.4547157432215e-06,0.21397967033304,0.321,0.252,0.169517050651591
"PITPNA",8.63837475254865e-06,0.267221560495083,0.395,0.335,0.1731994137886
"KIFC3",9.06477591530709e-06,0.244579415176991,0.22,0.161,0.181748757101907
"SNX9",1.144439956532e-05,0.285237093849329,0.352,0.293,0.229460211284667
"B4GALT1",1.15445465216191e-05,0.266459809175435,0.344,0.282,0.231468157758463
"MAPK6",1.15595519019587e-05,0.27870847333484,0.211,0.154,0.231769015634272
"LCP2",1.18142600473044e-05,0.328340390644967,0.352,0.288,0.236875913948454
"RNASET2",1.24315679602774e-05,0.277727941826571,0.682,0.707,0.249252937603562
"PRKAG2",1.28212162308278e-05,0.282302028696009,0.241,0.182,0.257065385428098
"PI4K2A",1.35850538511881e-05,0.217724687902248,0.263,0.199,0.272380329716321
"KCNMA1",1.36547552679588e-05,0.23276193992687,0.316,0.246,0.273777843122573
"DICER1",1.40802898311244e-05,0.238564177860182,0.524,0.482,0.282309811114044
"HSPA1A",1.60466434529277e-05,0.309183580335976,0.541,0.683,0.3217352012312
"PEA15",2.03272743823928e-05,0.318468831448675,0.444,0.389,0.407561851366975
"CREBL2",2.13245205961828e-05,0.23254401711963,0.298,0.236,0.427556637953466
"RASSF4",2.6406120606035e-05,0.291282355200051,0.361,0.304,0.529442718151001
"EMILIN2",3.08964083506332e-05,0.280444048726947,0.564,0.524,0.619472987430195
"ACSL3",3.45062448259752e-05,0.207310284193234,0.368,0.308,0.691850208760802
"ZEB2",3.55960825527864e-05,0.302373173885947,0.825,0.82,0.713701455183366
"MARCKSL1",3.67621964291078e-05,0.276942796328048,0.128,0.081,0.737082038403611
"HLA-DQA1",3.69294461808409e-05,0.236070408199727,0.828,0.885,0.74043539592586
"EMP1",3.84334875776166e-05,0.379184681019601,0.444,0.377,0.770591425931213
"HLA-DOA",4.03886553777574e-05,0.24862758082446,0.366,0.308,0.809792540324037
"TBC1D2B",4.28374829081958e-05,0.214914192828712,0.207,0.152,0.858891532309327
"FXYD6",4.30475988529718e-05,0.217871885171573,0.167,0.114,0.863104357002085
"CLN8",4.55830774861383e-05,0.322227210735823,0.391,0.339,0.913940703597073
"DDB1",4.93503447693734e-05,0.220897479531142,0.357,0.298,0.989474412625936
"TBC1D1",5.35171801199567e-05,0.21381417307346,0.37,0.309,1
"ATP2B1",5.53891736139379e-05,0.307638521924424,0.551,0.495,1
"ADA2",5.55450311808154e-05,0.265579843176527,0.613,0.594,1
"STK10",5.60582697573756e-05,0.250629624987552,0.31,0.254,1
"HNRNPA3",6.82871107050604e-05,0.313889011569873,0.686,0.691,1
"HMOX1",6.83769698597713e-05,0.265167046504975,0.533,0.5,1
"TRAPPC2L",7.62790158497832e-05,0.230513026480948,0.475,0.438,1
"PDIA3",7.88551515577567e-05,0.259421259844646,0.72,0.732,1
"TPM4",7.90243697421339e-05,0.304634861525594,0.768,0.781,1
"EMP3",8.38817260544403e-05,0.267667735857607,0.943,0.939,1
"FCHO2",9.40799181446967e-05,0.282846815586663,0.348,0.299,1
