NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_TUMOR_NECROSIS_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	10		Rejected!	
GOMF_DEATH_RECEPTOR_ACTIVITY	12		Rejected!	
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	14		Rejected!	
GOMF_NETRIN_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_SCAVENGER_RECEPTOR_ACTIVITY	47	42		
GOMF_SIGNAL_RECOGNITION_PARTICLE_BINDING	7		Rejected!	
GOMF_SIGNAL_SEQUENCE_BINDING	50	44		
GOMF_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	11		Rejected!	
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ADAPTOR_ACTIVITY	13		Rejected!	
GOMF_MAP_KINASE_SCAFFOLD_ACTIVITY	11		Rejected!	
GOMF_PROTEIN_KINASE_C_BINDING	54	48		
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	197	188		
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY	16	15		
GOMF_GTPASE_INHIBITOR_ACTIVITY	13		Rejected!	
GOMF_GTPASE_ACTIVATOR_ACTIVITY	275	246		
GOMF_SIGNALING_RECEPTOR_BINDING	1634		Rejected!	
GOMF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	25		Rejected!	
GOMF_TYPE_1_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	5		Rejected!	
GOMF_FRIZZLED_BINDING	37	23		
GOMF_TYPE_2_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	5		Rejected!	
GOMF_NOTCH_BINDING	25	20		
GOMF_PATCHED_BINDING	8		Rejected!	
GOMF_TYPE_II_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING	8		Rejected!	
GOMF_DEATH_RECEPTOR_BINDING	21	19		
GOMF_CYTOKINE_ACTIVITY	234	155		
